ID;EDAD;TRABAJO;ESTADO_CIVIL;EDUCACION;INCUMPLIMIENTO;VIVIENDA;PRESTAMO;TIPO_CONTACTO;PERIODO_AFILIACION;CAMPANA;NRO_DIAS_CONTACTO;CONTACTOS_PREVIOS;RESULT_PREVIO;INGRESO;MONTO_DEUDA;Celular
27692;38;admin.;single;university.degree;no;yes;no;cellular;202403;2;999;0;nonexistent;5265.038074;7281.213884;940823824
27693;26;student;single;basic.9y;no;no;no;cellular;202403;4;999;0;nonexistent;5202.038074;27799.74125;962270903
27695;30;management;married;university.degree;no;yes;no;cellular;202403;7;999;0;nonexistent;4992.038074;16449.57443;937702335
27696;26;student;single;basic.9y;no;yes;yes;cellular;202403;4;999;1;failure;5034.038074;19259.17317;922670303
27697;28;technician;single;university.degree;no;yes;no;cellular;202403;2;999;0;nonexistent;5078.038074;25739.686;925262168
27699;30;management;married;university.degree;no;no;no;cellular;202403;1;999;0;nonexistent;5066.038074;33008.99897;909632650
27701;26;admin.;married;university.degree;no;yes;no;cellular;202403;1;999;0;nonexistent;5144.038074;27152.90163;921618167
27702;28;technician;single;university.degree;no;no;no;cellular;202403;2;999;0;nonexistent;4957.038074;11284.37274;987218357
27703;31;admin.;single;university.degree;no;yes;no;cellular;202403;1;999;0;nonexistent;5011.038074;11013.916;968954284
27705;44;blue-collar;single;professional.course;no;no;no;cellular;202403;1;999;0;nonexistent;5018.038074;10296.74077;911466277
27707;30;management;married;university.degree;no;yes;no;cellular;202403;3;999;0;nonexistent;4985.038074;21694.70795;948680193
27708;26;admin.;married;university.degree;no;yes;no;cellular;202403;5;999;0;nonexistent;5109.038074;16116.69598;968798145
27709;28;technician;single;university.degree;no;yes;no;cellular;202403;3;999;0;nonexistent;5012.038074;30219.44494;976524755
27712;26;student;single;basic.9y;no;yes;no;cellular;202403;2;999;0;nonexistent;5054.038074;27434.90695;983243793
27713;26;admin.;married;university.degree;no;yes;no;cellular;202403;2;999;0;nonexistent;5092.038074;27178.24623;908737935
27714;70;retired;divorced;basic.4y;no;yes;no;cellular;202403;3;999;0;nonexistent;5300.038074;24547.42396;959948000
27716;61;admin.;married;university.degree;no;yes;no;cellular;202403;6;999;0;nonexistent;5065.038074;17800.20074;980863965
27717;26;student;single;basic.9y;no;no;yes;cellular;202403;4;999;0;nonexistent;5340.038074;10270.33188;911203997
27719;26;student;single;basic.9y;no;yes;no;cellular;202403;3;999;0;nonexistent;5084.038074;32133.26217;926530123
27720;30;management;married;university.degree;no;no;no;cellular;202403;3;999;0;nonexistent;5280.038074;33321.28865;970797176
27721;31;admin.;single;university.degree;no;no;yes;cellular;202403;2;999;0;nonexistent;5201.038074;28848.53508;988158601
27723;42;entrepreneur;married;basic.9y;no;unknown;unknown;cellular;202403;1;999;0;nonexistent;5380.10041;13354.72332;902124025
27724;66;technician;married;professional.course;no;yes;no;cellular;202403;1;999;0;nonexistent;5215.10041;7091.423277;923871544
27725;26;unknown;single;basic.9y;no;no;no;cellular;202403;1;999;0;nonexistent;5016.10041;17739.92105;975619798
27726;34;management;married;university.degree;no;no;no;cellular;202403;1;999;0;nonexistent;5304.10041;19252.5981;958088405
27727;35;admin.;married;high.school;no;yes;no;cellular;202403;3;999;0;nonexistent;5331.10041;15719.95093;909774656
27728;34;management;married;university.degree;no;yes;no;cellular;202403;5;999;0;nonexistent;5276.10041;28503.47728;923688495
27729;24;services;single;unknown;no;no;no;cellular;202403;1;999;0;nonexistent;5235.10041;27634.12736;928034002
27731;28;student;single;basic.9y;no;yes;no;cellular;202403;1;999;0;nonexistent;5117.10041;6680.099489;943621632
27732;36;admin.; married;high.school;no;no;no;cellular;202403;1;999;0;nonexistent;5209.10041;30442.32787;953739361
27733;43;blue-collar;married;basic.9y;no;no;no;cellular;202403;2;999;0;nonexistent;5170.10041;24741.80142;999200198
27735;28;student;single;basic.9y;no;yes;no;cellular;202403;2;999;0;nonexistent;5382.10041;19765.03038;972910331
27736;32;technician;married;professional.course;no;no;yes;cellular;202403;5;999;0;nonexistent;5309.510734;13679.25794;917327631
27740;38;technician;married;professional.course;no;no;no;cellular;202403;3;999;0;nonexistent;5165.628078;30910.57837;900722736
27741;38;technician;married;professional.course;no;no;no;cellular;202403;1;999;0;nonexistent;5265.628078;32319.28176;979308296
27742;44;management;married;basic.6y;no;yes;no;cellular;202403;2;999;0;nonexistent;5437.628078;30845.21138;971096361
27743;38;technician;married;professional.course;no;yes;yes;cellular;202403;2;999;0;nonexistent;5391.628078;8026.025847;928293237
27745;23;admin.;single;university.degree;no;yes;no;cellular;202403;1;999;0;nonexistent;5350.628078;32318.10816;905540384
27746;44;management;married;basic.6y;no;yes;yes;cellular;202403;1;999;0;nonexistent;5456.628078;21317.28089;901682978
27747;33;management;married;university.degree;no;yes;no;cellular;202403;1;999;0;nonexistent;5142.628078;12279.805;940035433
